Countries,1967,1977,1987,1997,2007,2013,2014,2015,2016,2017
China,388772,499015,763613,1167965,1607703,1943987,2048621,2117887,2128339,2161333
India,275260,412318,516632,757694,1005286,1126270,1216296,1207996,1221626,1223513
USA,448832,566895,622327,744857,847396,894668,924114,917708,1008252,974034
Brazil,164118,246755,432765,549937,884825,1143605,1150320,1176957,1173522,1216178
Russia,0,0,0,211041,236353,263296,278187,287789,318181,334095
,,,,,,,,,,
,,,,,,,,,,
Countries,year,production value,,,,,,,,
China,1967,388772,,,,,,,,
China,1977,499015,,,,,,,,
China,1987,763613,,,,,,,,
China,1997,1167965,,,,,,,,
China,2007,1607703,,,,,,,,
India,1967,275260,,,,,,,,
India,1977,412318,,,,,,,,
India,1987,516632,,,,,,,,
India,1997,757694,,,,,,,,
India,2007,1005286,,,,,,,,
USA,1967,448832,,,,,,,,
USA,1977,566895,,,,,,,,
USA,1987,622327,,,,,,,,
USA,1997,744857,,,,,,,,
USA,2007,847396,,,,,,,,
