Area,Item,Value,,,,
Belgium,Cereals - Excluding Beer,4796,26441,,520818,0.436871411
Belgium,Starchy Roots,4294,,,1192154,
Belgium,Sugar & Sweeteners,2283,,,,
Belgium,Pulses,60,,,,
Belgium,Treenuts,44,,,,
Belgium,Vegetables,2541,,,,
Belgium,Fruits - Excluding Wine,4812,,,,
Belgium,Meat,1754,,,,
Belgium,Eggs,111,,,,
Belgium,Milk - Excluding Butter,5447,,,,
Belgium,"Fish, Seafood",299,,,,
Brazil,Cereals - Excluding Beer,31192,80089,,,
Brazil,Starchy Roots,87,,,,
Brazil,Sugar & Sweeteners,29338,,,,
Brazil,Pulses,123,,,,
Brazil,Treenuts,49,,,,
Brazil,Vegetables,375,,,,
Brazil,Fruits - Excluding Wine,11447,,,,
Brazil,Meat,7227,,,,
Brazil,Eggs,17,,,,
Brazil,Milk - Excluding Butter,144,,,,
Brazil,"Fish, Seafood",90,,,,
Canada,Cereals - Excluding Beer,30488,44325,,,
Canada,Starchy Roots,2301,,,,
Canada,Sugar & Sweeteners,656,,,,
Canada,Pulses,5466,,,,
Canada,Treenuts,28,,,,
Canada,Vegetables,1160,,,,
Canada,Fruits - Excluding Wine,487,,,,
Canada,Meat,1946,,,,
Canada,Eggs,12,,,,
Canada,Milk - Excluding Butter,919,,,,
Canada,"Fish, Seafood",862,,,,
China,Cereals - Excluding Beer,3768,38930,,,
China,Starchy Roots,886,,,,
China,Sugar & Sweeteners,2505,,,,
China,Pulses,463,,,,
China,Treenuts,385,,,,
China,Vegetables,13885,,,,
China,Fruits - Excluding Wine,5970,,,,
China,Meat,1741,,,,
China,Eggs,122,,,,
China,Milk - Excluding Butter,140,,,,
China,"Fish, Seafood",9065,,,,
France,Cereals - Excluding Beer,28735,51546,,,
France,Starchy Roots,2448,,,,
France,Sugar & Sweeteners,4269,,,,
France,Pulses,437,,,,
France,Treenuts,62,,,,
France,Vegetables,2020,,,,
France,Fruits - Excluding Wine,1673,,,,
France,Meat,1345,,,,
France,Eggs,110,,,,
France,Milk - Excluding Butter,9997,,,,
France,"Fish, Seafood",450,,,,
Germany,Cereals - Excluding Beer,16961,49203,,,
Germany,Starchy Roots,4589,,,,
Germany,Sugar & Sweeteners,2627,,,,
Germany,Pulses,79,,,,
Germany,Treenuts,116,,,,
Germany,Vegetables,947,,,,
Germany,Fruits - Excluding Wine,1907,,,,
Germany,Meat,3626,,,,
Germany,Eggs,172,,,,
Germany,Milk - Excluding Butter,16698,,,,
Germany,"Fish, Seafood",1481,,,,
Italy,Cereals - Excluding Beer,5855,21727,,,
Italy,Starchy Roots,155,,,,
Italy,Sugar & Sweeteners,525,,,,
Italy,Pulses,26,,,,
Italy,Treenuts,174,,,,
Italy,Vegetables,6185,,,,
Italy,Fruits - Excluding Wine,4387,,,,
Italy,Meat,735,,,,
Italy,Eggs,45,,,,
Italy,Milk - Excluding Butter,3458,,,,
Italy,"Fish, Seafood",182,,,,
Netherlands,Cereals - Excluding Beer,3382,43391,,,
Netherlands,Starchy Roots,7255,,,,
Netherlands,Sugar & Sweeteners,1755,,,,
Netherlands,Pulses,49,,,,
Netherlands,Treenuts,117,,,,
Netherlands,Vegetables,6039,,,,
Netherlands,Fruits - Excluding Wine,5522,,,,
Netherlands,Meat,3427,,,,
Netherlands,Eggs,629,,,,
Netherlands,Milk - Excluding Butter,14020,,,,
Netherlands,"Fish, Seafood",1196,,,,
Spain,Cereals - Excluding Beer,2666,26944,,,
Spain,Starchy Roots,434,,,,
Spain,Sugar & Sweeteners,854,,,,
Spain,Pulses,35,,,,
Spain,Treenuts,384,,,,
Spain,Vegetables,8386,,,,
Spain,Fruits - Excluding Wine,8324,,,,
Spain,Meat,2491,,,,
Spain,Eggs,140,,,,
Spain,Milk - Excluding Butter,1664,,,,
Spain,"Fish, Seafood",1566,,,,
United States of America,Cereals - Excluding Beer,93954,138222,,,
United States of America,Starchy Roots,3845,,,,
United States of America,Sugar & Sweeteners,3665,,,,
United States of America,Pulses,1353,,,,
United States of America,Treenuts,2036,,,,
United States of America,Vegetables,5083,,,,
United States of America,Fruits - Excluding Wine,6473,,,,
United States of America,Meat,7585,,,,
United States of America,Eggs,249,,,,
United States of America,Milk - Excluding Butter,11346,,,,
United States of America,"Fish, Seafood",2633,,,,
,,,,,,
USA,,,,,,
Brazil,,,,,,
France,,,,,,
Germany,,,,,,
Canada,,,,,,
Netherlands,,,,,,
China,,,,,,
Spain,,,,,,
Belgium,,,,,,
Italy,,,,,,
